dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2018-11-02 18:24:49.0,2018-11-02 18:25:49.0,3660,,4,1
2018-11-23 12:36:40.0,2018-11-23 12:37:40.0,60,,4,1
