dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-11-01 02:00:49.0,2019-11-01 02:01:49.0,60,,4,1
2019-11-08 00:18:49.0,2019-11-08 00:19:48.0,59,,4,1
