dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-07 06:36:26.0,2019-02-07 06:38:26.0,120,,4,1
2019-02-19 00:28:26.0,2019-02-19 00:29:36.0,70,,4,1
2019-02-19 00:35:26.0,2019-02-19 00:36:26.0,60,,4,1
2019-02-19 00:38:26.0,2019-02-19 00:39:26.0,60,,4,1
2019-02-19 00:52:26.0,2019-02-19 00:53:26.0,60,,4,1
2019-02-19 01:03:26.0,2019-02-19 01:04:26.0,60,,4,1
2019-02-19 01:05:27.0,2019-02-19 01:06:26.0,59,,4,1
2019-02-19 01:17:26.0,2019-02-19 01:18:26.0,60,,4,1
