dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-01 05:01:04.0,2019-02-01 05:02:05.0,61,,4,1
2019-02-01 05:03:04.0,2019-02-01 05:04:04.0,60,,4,1
2019-02-01 05:39:04.0,2019-02-01 05:40:03.0,59,,4,1
