dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-02-19 14:40:47.0,2019-02-19 14:42:46.0,119,,4,1
2019-02-19 14:43:46.0,2019-02-19 14:45:46.0,120,,4,1
