dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-09-01 16:47:32.0,2017-09-01 18:34:13.0,2017-09-02 13:31:25.0,74633,6401,RD03_MSRPTCU,68232,2440575
2017-09-07 02:48:03.0,2017-09-07 16:15:39.0,2017-09-07 16:20:05.0,48722,48456,RD03_MSRPTCU,266,462283
2017-09-09 07:03:08.0,2017-09-09 07:20:02.0,2017-09-09 07:28:08.0,1500,1014,RD03_MSRPTCU,486,139642
2017-09-24 14:53:39.0,2017-09-24 15:06:20.0,2017-09-24 15:13:38.0,1199,761,RD03_MSRPTCU,438,1323213
2017-09-27 10:53:44.0,2017-09-27 13:37:23.0,2017-09-27 13:41:23.0,10059,9819,RD03_MSRPTCU,240,244044
2017-10-01 17:23:52.0,2017-10-03 13:14:59.0,2017-10-03 19:58:56.0,182104,157867,RD03_MSRPTCU,24237,359189
2018-02-23 10:34:31.0,2018-02-23 13:44:21.0,2018-02-23 13:49:01.0,11670,11390,RD03_MSRPTCU,280,12344716
2018-02-23 13:49:30.0,2018-02-23 15:10:40.0,2018-02-23 15:14:59.0,5129,4870,RD03_MSRPTCU,259,309
2018-02-26 07:04:45.0,2018-02-26 10:45:20.0,2018-02-26 10:50:00.0,13515,13235,RD03_MSRPTCU,280,230028
2017-09-01 16:47:37.0,2017-09-01 18:34:14.0,2017-09-02 13:30:55.0,74598,6397,RD04_MSRPTCU,68201,2440581
2017-09-07 02:48:07.0,2017-09-07 16:15:41.0,2017-09-07 16:20:12.0,48725,48454,RD04_MSRPTCU,271,462287
2017-09-09 07:03:12.0,2017-09-09 07:20:02.0,2017-09-09 07:28:11.0,1499,1010,RD04_MSRPTCU,489,139645
2017-09-24 14:53:43.0,2017-09-24 15:06:20.0,2017-09-24 15:13:42.0,1199,757,RD04_MSRPTCU,442,1323217
2017-09-27 10:53:48.0,2017-09-27 13:37:24.0,2017-09-27 13:41:28.0,10060,9816,RD04_MSRPTCU,244,244047
2017-10-01 17:23:57.0,2017-10-03 13:15:00.0,2017-10-03 19:57:29.0,182012,157863,RD04_MSRPTCU,24149,359192
2018-02-23 10:34:36.0,2018-02-23 13:44:22.0,2018-02-23 13:48:42.0,11646,11386,RD04_MSRPTCU,260,12344723
2018-02-23 13:49:36.0,2018-02-23 15:10:41.0,2018-02-23 15:15:19.0,5143,4865,RD04_MSRPTCU,278,313
2018-02-26 07:04:51.0,2018-02-26 10:45:21.0,2018-02-26 10:49:34.0,13483,13230,RD04_MSRPTCU,253,230032
