dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-10-28 02:22:43.0,2017-10-28 12:39:03.0,2017-10-28 13:38:16.0,40533,36980,RD05_MSRPPPR,3553,24899
2017-10-28 13:47:44.0,2017-10-28 14:04:06.0,2017-10-28 14:06:58.0,1154,982,RD05_MSRPPPR,172,4121
2017-10-28 14:17:45.0,2017-10-28 14:22:11.0,2017-10-28 14:27:45.0,600,266,RD05_MSRPPPR,334,818
2017-11-10 14:08:11.0,2017-11-10 14:19:05.0,2017-11-10 14:22:03.0,832,654,RD05_MSRPPPR,178,1122362
2018-01-26 10:15:29.0,2018-01-26 10:19:49.0,2018-01-26 10:25:29.0,600,260,RD05_MSRPPPR,340,6638369
2018-01-26 10:35:30.0,2018-01-26 10:37:12.0,2018-01-26 10:40:30.0,300,102,RD05_MSRPPPR,198,940
2018-02-20 17:57:38.0,2018-02-20 18:00:40.0,2018-02-20 18:07:38.0,600,182,RD05_MSRPPPR,418,2188991
2018-02-20 18:12:38.0,2018-02-20 19:09:01.0,2018-02-20 19:11:10.0,3512,3383,RD05_MSRPPPR,129,717
2018-03-05 17:43:08.0,2018-04-04 17:09:12.0,2018-04-04 17:24:48.0,2590900,2589964,RD05_MSRPPPR,936,1118008
2017-09-12 11:41:11.0,2017-09-12 11:46:11.0,2017-09-12 11:51:11.0,600,300,RD06_MSRPPPR,300,4709321
2017-09-12 12:11:11.0,2017-09-12 12:16:32.0,2017-09-12 12:18:30.0,439,321,RD06_MSRPPPR,118,1500
2017-10-02 05:46:53.0,2017-10-03 19:53:38.0,2017-10-03 21:49:30.0,144157,137205,RD06_MSRPPPR,6952,1704572
2017-10-28 02:22:46.0,2017-10-28 12:39:02.0,2017-10-28 13:38:38.0,40552,36976,RD06_MSRPPPR,3576,2093289
