dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2020-01-06 17:10:46.0,2020-01-06 17:12:46.0,120,,4,1
2020-01-06 17:14:46.0,2020-01-06 17:17:46.0,180,,4,1
2020-01-08 11:27:46.0,2020-01-08 11:29:46.0,120,,4,1
2020-01-08 18:15:46.0,2020-01-08 18:19:46.0,240,,4,1
2020-01-08 18:45:46.0,2020-01-08 18:47:46.0,120,,4,1
2020-01-13 17:10:46.0,2020-01-13 17:12:46.0,120,,4,1
2020-01-13 17:15:46.0,2020-01-13 17:17:46.0,120,,4,1
2020-01-18 08:23:46.0,2020-01-18 08:26:46.0,180,,4,1
