time_ini,time_end,duration_seg,duration_percent,OMCCL_nOK_0004,localidade_id_MSRPPPR_1749,chamados_MSRPPMT1,RPBNDxRPSGO_ativado,RPFGR_SColTempo_0001_delta_tempo,ref_2020_02_01,ref_Periodo,RPFDIxRPMPX_ativado,ref_2020_01_18,ref_2020_01_19,ref_2019_12_31,chamados_MSOMCGR,ref_2020_01_12,OMCCLxRPATJ_ativado,ref_2020_01_10,ref_2020_01_11,ref_2020_01_16,RPNAS_SColTempo_0002_delta_tempo,ref_2020_01_14,ref_2020_01_15,RPFSJ_SColTempo_0002_delta_tempo,RPAMB_nOK_0003,RPMPX_nOK_0003,RPMPX_nOK_0002,RPMRDxRPFGR_ativado,ref_2020_01_13,ref_2020_01_09,ref_2020_01_08,OMJRD_SColTempo_0001_delta_tempo,ref_2020_01_01,ref_2020_01_03,ref_2020_01_02,ref_2020_01_05,ref_2020_01_04,ref_2020_01_07,ref_2020_01_06,RPAMBxRPTCU_ativado,ref_2019_12,RPJRD_nOK_0002,chamados_MSRPPPR,RPNASxRPRBR_ativado,RPPPR_nOK_0002,localidade_id_MSRPPMT1_1749,RPPPR_nOK_0004,RPFSJxRPPMT_ativado,RPFSJ_nOK_0002,RPSGOxRPFMA_ativado,ref_2020_01_30,ref_2020_01_31,OMCARCxRPFSJ_ativado,localidade_id_MSOMCCL_1749,OMCGR_nOK_0001,OMJRDxRPJRD_ativado,OMCGRxRPCGR_ativado,RPPPRxOMCCL_ativado,RPFTBxRPFXS_ativado,OMJRD_SColTempo_0002_delta_tempo,RPDOUxOMDOU_ativado,RPMMAxOMCARC_ativado,RPMPXxRPMRD_ativado,RPTRNxRPFDI_ativado,RPNAS_SColTempo_0001_delta_tempo,RPFGRxRPFTB_ativado,ref_2020_01_23,chamados_MSRPCGR,ref_2020_01_21,ref_2020_01_20,ref_2020_01_27,RPPMT_SColTempo_0002_delta_tempo,ref_2020_01_25,Chamados_Desconto,ref_2020_01_29,ref_2020_01_28,OMBBR_SColTempo_0001_delta_tempo,RPAMOxRPAMB_ativado,RPPMT1xOMBBR_ativado,chamados_MSOMCCL,RPTCUxOMIGT_ativado,ref_2020_01_17,RPPPRxOMPPR_ativado,RPTCU_nOK_0001,OMMNOxOMGUA_ativado,RPNAS1xRPNAS_ativado,RPRBRxRPDOU_ativado,OMCGRxOMRCB_ativado,RPNVLxRPBND_ativado,RPMPXxRPSPE_ativado,RPCGRxRPNAS1_ativado,RPNOQxOMNOQ_ativado,RPFXS_SColTempo_0001_delta_tempo,RPMRD_SColTempo_0003_delta_tempo,RPFSJ_SColTempo_0001_delta_tempo,ref_2020_01_22,RPFMAxRPFSG_ativado,RPFSJxRPPMT1_ativado,ref_2020_01_26,ref_2020_01_24,RPRBR_nOK_0002,RPSPE_SColTempo_0001_delta_tempo,RPDOU_nOK_0001,RPAMO_nOK_0002,RPBND_nOK_0001,localidade_id_MSRPCGR_1749,OMDOUxRPPPR_ativado,RPAMBxOMAMB_ativado,OMIGTxOMMNO_ativado,RPFGR_SColTempo_0002_delta_tempo,RPFGR_nOK_0002,OMCGRxRPNVL_ativado,RPFSJ_nOK_0003,RPMMAxOMBLV_ativado,RPNVLxRPTRN_ativado,RPMRDxOMAQD_ativado,localidade_id_MSOMCGR_1749,RPSPE_SColTempo_0002_delta_tempo,RPJRDxRPMMA_ativado,RPNOQxOMJRD_ativado,RPPPRxRPAMO1_ativado,RPAMO1xRPAMO_ativado,RPATJxOMBLV_ativado,RPPMTxOMPMT_ativado,ref_2020_02,RPSPExRPNOQ_ativado,ref_2020_01
"2019-12-31 17:15:50","2019-12-31 18:44:50",5340.0,0.00187289627978, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 18:44:50","2019-12-31 18:46:50",120.0,4.20875568489E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , ,1, ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 18:46:50","2019-12-31 20:12:50",5160.0,0.0018097649445, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 20:12:50","2019-12-31 20:13:50",60.0,2.10437784244E-05, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , ,1, ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 20:13:50","2019-12-31 23:59:59",13569.0,0.00475905049069, , , ,1, , ,1,1, , ,1, , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1,1, , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2019-12-31 23:59:59","2020-01-01 00:00:00",1.0,3.50729640407E-07, , , ,1, , ,1,1, , , , , ,1, , , , , , , , , , ,1, , , , , , , , , , , ,1, , , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1, 
"2020-01-01 00:00:00","2020-01-01 00:09:48",588.0,0.00020622902856, , , ,1, , ,1,1, , , , , ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , , ,1, , , ,1, ,1, , ,1, , ,1,1,1,1, ,1,1,1,1, ,1, , , , , , , , , , , ,1,1, ,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , , ,1,1,1, , ,1, ,1,1,1, , ,1,1,1,1,1,1, ,1,1
"2020-01-01 00:09:48","2020-01-01 00:35:47",1559.0,0.000546787509395, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 00:35:47","2020-01-01 00:36:47",60.0,2.10437784244E-05, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , ,1,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 00:36:47","2020-01-01 00:47:50",663.0,0.00023253375159, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 00:47:50","2020-01-01 00:48:50",60.0,2.10437784244E-05, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , ,1, ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 00:48:50","2020-01-01 01:30:50",2520.0,0.000883838693827, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 01:30:50","2020-01-01 01:31:50",60.0,2.10437784244E-05, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , ,1, ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 01:31:50","2020-01-01 02:46:47",4497.0,0.00157723119291, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 02:46:47","2020-01-01 02:48:48",121.0,4.24382864893E-05, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , ,1,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
"2020-01-01 02:48:48","2020-01-01 03:54:50",3962.0,0.00138959083529, ,1, ,1, , ,1,1, , , ,1, ,1, , , , , , , , , , ,1, , , , ,1, , , , , , ,1, , ,1,1, , , ,1, ,1, , ,1,1, ,1,1,1,1, ,1,1,1,1, ,1, ,1, , , , , ,1, , , ,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1, , , , ,1,1, , , , , , , ,1,1,1,1, , ,1, ,1,1,1,1, ,1,1,1,1,1,1, ,1,1
