dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-12-31 01:35:10.0,2019-12-31 01:36:11.0,61,,4,1
2019-12-31 01:41:10.0,2019-12-31 01:42:10.0,60,,4,1
2020-02-01 00:13:11.0,2020-02-01 00:14:10.0,59,,4,1
