dh_ultima_coleta,dh_equip_ligado,dh_primeira_coleta,TempoIndisponivel,TempoIndispAjustado,Equipamento,Uptime,UltimoUptime
2017-12-06 13:42:45.0,2017-12-06 13:44:13.0,2017-12-06 13:47:58.0,313,88,MSOMNOQ_SWL3,225,525580
2017-12-06 19:20:58.0,2017-12-06 19:22:38.0,2017-12-06 19:26:58.0,360,100,MSOMNOQ_SWL3,260,20207
2017-12-06 19:33:08.0,2017-12-06 19:35:18.0,2017-12-06 19:38:58.0,350,130,MSOMNOQ_SWL3,220,629
2017-12-06 21:11:58.0,2017-12-06 21:14:05.0,2017-12-06 21:17:58.0,360,127,MSOMNOQ_SWL3,233,5801
2017-12-07 15:29:58.0,2017-12-07 15:35:41.0,2017-12-07 15:38:58.0,540,343,MSOMNOQ_SWL3,197,65756
2017-12-08 18:38:58.0,2017-12-08 18:41:05.0,2017-12-08 18:44:58.0,360,127,MSOMNOQ_SWL3,233,97402
2017-12-15 16:17:58.0,2017-12-15 16:34:20.0,2017-12-15 16:54:32.0,2194,982,MSOMNOQ_SWL3,1212,596242
2017-12-17 19:38:58.0,2017-12-17 19:39:41.0,2017-12-17 19:44:58.0,360,43,MSOMNOQ_SWL3,317,183887
2017-12-19 20:44:58.0,2017-12-19 20:45:27.0,2017-12-19 20:50:58.0,360,29,MSOMNOQ_SWL3,331,176726
2017-12-20 16:53:58.0,2017-12-20 16:55:56.0,2017-12-20 16:59:58.0,360,118,MSOMNOQ_SWL3,242,72514
2017-12-21 12:11:59.0,2017-12-21 12:21:23.0,2017-12-21 12:24:33.0,754,564,MSOMNOQ_SWL3,190,69366
2017-12-21 14:35:58.0,2017-12-21 14:38:11.0,2017-12-21 14:41:58.0,360,133,MSOMNOQ_SWL3,227,8075
2017-12-22 17:32:58.0,2017-12-22 17:37:03.0,2017-12-22 17:39:23.0,385,245,MSOMNOQ_SWL3,140,96892
2017-12-28 15:15:07.0,2017-12-28 15:16:15.0,2017-12-28 15:21:07.0,360,68,MSOMNOQ_SWL3,292,509910
2017-12-29 09:57:07.0,2017-12-29 09:58:59.0,2017-12-29 10:03:06.0,359,112,MSOMNOQ_SWL3,247,67255
