dh_inicio,dh_termino,delta_tempo,Equipamento,Trunk,item_key
2018-11-12 12:27:24.0,2018-11-12 12:33:25.0,361,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-11-12 13:02:24.0,2018-11-12 16:54:24.0,13920,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-11-15 23:25:25.0,2018-11-15 23:29:24.0,239,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
2018-11-27 17:07:25.0,2018-11-27 17:10:56.0,211,MSOMDOU_SWL3,ifOperStatus[Trunk Port ID 0001],
