dh_inicio,dh_termino,tempo_periodo,tempo_opersts_nOk,delta_value,is_periodo
2019-04-25 14:08:26.0,2019-04-25 14:09:50.0,84,,4,1
2019-04-26 12:23:55.0,2019-04-26 12:26:51.0,176,,4,1
