time_ini,time_end,duration_seg,duration_percent,RPCGR_SColTempo_0001_delta_tempo,ref_2017dez,Equipamento SW01B_MSOMCGR,Equipamento RD04_MSRPCGR,OMCGR_SysUpDeslig,Equipamento RD04_MSOMCGR,Equipamento RD02_MSOMCGR,Equipamento MSOMCGR_SWL3,OMCGR_nOK_0001,Equipamento RD03_MSOMCGR,Equipamento RD01_MSOMCGR,Equipamento RD01_MSRPCGR,ref_2017nov,ref_Periodo,Equipamento SW01A_MSOMCGR,OMCGR_SColTempo_0001_delta_tempo,RPCGR_SysUpDeslig
"2017-10-26 15:15:05","2017-10-26 15:19:37",272.0,1.30088772674E-05,299, , , , , , , , , , , ,1,1, ,586, 
"2017-10-26 15:19:37","2017-10-26 15:19:38",1.0,4.78267546596E-08, , , , , , , , , , , , ,1,1, ,586, 
"2017-10-26 15:19:38","2017-10-26 15:24:14",276.0,1.32001842861E-05,276, , , , , , , , , , , ,1,1, ,586, 
"2017-10-26 15:24:14","2017-10-26 15:24:51",37.0,1.76958992241E-06, , , , , , , , , , , , ,1,1, ,586, 
"2017-10-26 15:24:51","2017-10-28 16:16:26",175895.0,0.00841248701085, , , , , , , , , , , , ,1,1, , , 
"2017-10-28 16:16:26","2017-10-28 16:18:45",139.0,6.64791889769E-06, , , ,1, , , , , , , , ,1,1, , ,1
"2017-10-28 16:18:45","2017-10-31 23:59:59",286874.0,0.0137202524162, , , , , , , , , , , , ,1,1, , , 
"2017-10-31 23:59:59","2017-11-01 00:00:00",1.0,4.78267546596E-08, , , , , , , , , , , , , ,1, , , 
"2017-11-01 00:00:00","2017-11-14 01:14:17",1127657.0,0.0539321746792, , , , , , , , , , , , ,1,1, , , 
"2017-11-14 01:14:17","2017-11-14 01:14:44",27.0,1.29132237581E-06,271, , , , , , , , , , , ,1,1, , , 
"2017-11-14 01:14:44","2017-11-14 01:18:48",244.0,1.16697281369E-05,271, , , , , , , , , , , ,1,1, ,268, 
"2017-11-14 01:18:48","2017-11-14 01:19:12",24.0,1.14784211183E-06, , , , , , , , , , , , ,1,1, ,268, 
"2017-11-14 01:19:12","2017-11-14 03:12:44",6812.0,0.000325795852741, , , , , , , , , , , , ,1,1, , , 
"2017-11-14 03:12:44","2017-11-14 03:12:57",13.0,6.21747810575E-07, , , , , , , , , , , , ,1,1, ,151, 
"2017-11-14 03:12:57","2017-11-14 03:15:15",138.0,6.60009214303E-06,162, , , , , , , , , , , ,1,1, ,151, 
"2017-11-14 03:15:15","2017-11-14 03:15:39",24.0,1.14784211183E-06,162, , , , , , , , , , , ,1,1, , , 
"2017-11-14 03:15:39","2017-11-14 08:28:17",18758.0,0.000897134263905, , , , , , , , , , , , ,1,1, , , 
"2017-11-14 08:28:17","2017-11-14 08:28:45",28.0,1.33914913047E-06,240, , , , , , , , , , , ,1,1, , , 
"2017-11-14 08:28:45","2017-11-14 08:31:45",180.0,8.60881583873E-06,240, , , , , , , , , , , ,1,1, ,180, 
